"likely_id","cc_property_id","attom_id","broker","mls_name","status","date","year_built","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
16957237,278306033,19089887,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
26054911,7202921,166154748,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-15 00:00:00",,"Sale",0.9713128663447381,0.02868713365526181,0.9713128663447381
26013960,7422092,166828626,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-15 00:00:00",,"Sale",0.9708532925082235,0.02914670749177644,0.9708532925082235
511683,7824227,35585886,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9746147812396724,0.9746147812396724,0.025385218760327653
537793,8159753,34092355,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9493009961381459,0.9493009961381459,0.05069900386185409
26314373,8159753,34092355,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-19 00:00:00",,"Sale",0.9684650364174552,0.03153496358254473,0.9684650364174552
22864012,505776714,205505840,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.945246360016531,0.945246360016531,0.054753639983469084
26862601,8055644,167233721,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-29 00:00:00",,"Sale",0.9713128663447381,0.02868713365526181,0.9713128663447381
25399520,7815560,166236513,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-08 00:00:00",,"Sale",0.9711911681031405,0.02880883189685943,0.9711911681031405
519999,7946351,41713357,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9435464231726058,0.9435464231726058,0.05645357682739423
520002,7946351,41713357,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-16 00:00:00",,"Sale",0.7930021960726088,0.20699780392739112,0.7930021960726088
18317279,349403016,10371742,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.945246360016531,0.945246360016531,0.054753639983469084
18317283,349403016,10371742,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-30 00:00:00",,"Sale",0.9498406431327787,0.0501593568672214,0.9498406431327787
21813654,481150743,167641218,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9773434613625747,0.9773434613625747,0.02265653863742534
16962757,278607911,44573160,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9483929898789436,0.9483929898789436,0.05160701012105648
542503,8222429,167250974,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9515286569734709,0.9515286569734709,0.04847134302652914
21935942,482887425,167792790,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9490355304920887,0.9490355304920887,0.05096446950791133
488680,7522049,47822057,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-22 00:00:00",,"Sale",0.9454936641750683,0.05450633582493166,0.9454936641750683
452791,7059446,147703076,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-26 00:00:00",,"Active",0.9435464231726058,0.9435464231726058,0.05645357682739423
